transaction_id,user_id,merchant_id,device_id,amount,hour,day_of_week,transaction_amount_deviation,is_high_value,is_odd_hour,upi_channel,transaction_status,merchant_category,device_os,default_city,default_state,transaction_city,transaction_state,fraud
52,1401,1248,44,4651.0,18,Monday,52.74,1,0,BHIM,Failed,Electricity Bill,Windows,Bhatpara,West Bengal,Madurai,Tamil Nadu,0
53,154,752,860,4762.47,4,Thursday,-15.46,1,1,PhonePe,Pending,Gas Bill,Android,Nashik,Maharashtra,Bilaspur,Chhattisgarh,1
54,1987,232,363,1451.03,10,Thursday,-3.38,0,0,PhonePe,Completed,Food Delivery,Android,Vasai-Virar,Maharashtra,Thrissur,Kerala,0
55,1512,1293,556,2578.13,1,Tuesday,78.68,0,1,PhonePe,Failed,Gas Bill,Android,Asansol,West Bengal,Asansol,West Bengal,0
56,118,729,7,1770.11,2,Tuesday,-98.97,0,1,BHIM,Pending,Gas Bill,Android,Belgaum,Karnataka,Ujjain,Madhya Pradesh,0
57,824,727,642,988.52,1,Monday,5.82,0,1,GPay,Pending,Gas Bill,MacOS,Bhavnagar,Gujarat,Patiala,Punjab,0
58,254,999,514,1131.25,10,Sunday,-20.93,0,0,PhonePe,Pending,Travel Booking,Windows,Gurgaon,Haryana,Durg,Chhattisgarh,0
59,1828,374,550,3281.74,15,Thursday,-12.13,1,0,Paytm,Pending,Travel Booking,Windows,Panipat,Haryana,Kalyan-Dombivli,Maharashtra,1
60,12,736,932,202.24,18,Wednesday,-21.09,0,0,GPay,Pending,Online Shopping,Android,Rajkot,Gujarat,Solapur,Maharashtra,0
61,329,1365,204,594.84,19,Thursday,-2.19,0,0,BHIM,Pending,Travel Booking,iOS,Bangalore,Karnataka,Ratlam,Madhya Pradesh,0
62,666,819,866,3963.77,19,Thursday,-74.78,1,0,PhonePe,Completed,Healthcare Services,MacOS,Davanagere,Karnataka,Vasai-Virar,Maharashtra,0
63,1572,1402,243,2148.9,3,Saturday,19.42,0,1,GPay,Pending,Gas Bill,iOS,Warangal,Telangana,Karimnagar,Telangana,1
64,593,578,411,3088.45,11,Monday,45.85,1,0,GPay,Completed,Healthcare Services,MacOS,Satna,Madhya Pradesh,Bellary,Karnataka,0
65,1571,236,885,3331.99,12,Sunday,-14.17,1,0,Paytm,Completed,Online Shopping,Android,Bikaner,Rajasthan,Begusarai,Bihar,0
66,1436,1496,515,3144.91,18,Sunday,-70.25,1,0,PhonePe,Failed,Education Fees,MacOS,Muzaffarnagar,Uttar Pradesh,Solapur,Maharashtra,1
67,79,561,197,3082.72,12,Thursday,-81.81,1,0,PhonePe,Completed,Food Delivery,Android,Gurgaon,Haryana,Bellary,Karnataka,1
68,1076,628,717,2130.95,10,Thursday,-87.73,0,0,PhonePe,Pending,Electricity Bill,Android,Aizawl,Mizoram,Jalandhar,Punjab,0
69,624,226,276,3558.22,15,Wednesday,-50.61,1,0,Paytm,Pending,Water Bill,Windows,Belgaum,Karnataka,Cuttack,Odisha,0
70,84,2,838,2360.82,15,Thursday,81.7,0,0,Paytm,Pending,DTH Recharge,MacOS,Aligarh,Uttar Pradesh,Gurgaon,Haryana,1
71,517,1007,8,485.34,7,Sunday,-97.27,0,0,Paytm,Completed,Mobile Recharge,Windows,Delhi,Delhi,Durgapur,West Bengal,0
72,679,739,760,2644.78,2,Sunday,-25.68,0,1,Paytm,Failed,Travel Booking,iOS,Gulbarga,Karnataka,Pali,Rajasthan,0
73,1197,787,90,3713.19,7,Friday,-75.93,1,0,GPay,Failed,Travel Booking,MacOS,Sonipat,Haryana,Amritsar,Punjab,0
74,396,1444,127,3095.43,20,Saturday,-39.7,1,0,GPay,Failed,DTH Recharge,Android,Aizawl,Mizoram,Vadodara,Gujarat,0
75,1093,1477,356,2091.64,1,Wednesday,42.32,0,1,GPay,Completed,Online Shopping,iOS,Howrah,West Bengal,Dhanbad,Jharkhand,0
76,1833,750,527,2414.62,2,Friday,4.75,0,1,GPay,Completed,DTH Recharge,Android,Baranagar,West Bengal,Gopalpur,Odisha,0
77,342,1228,622,4779.06,10,Monday,-87.84,1,0,PhonePe,Completed,Online Shopping,Windows,Durg,Chhattisgarh,Nellore,Andhra Pradesh,0
78,1517,815,207,3753.89,0,Friday,-23.17,1,1,GPay,Pending,Food Delivery,Android,Bharatpur,Rajasthan,Jodhpur,Rajasthan,0
79,1244,557,212,2859.92,15,Thursday,18.42,0,0,PhonePe,Completed,Travel Booking,iOS,Visakhapatnam,Andhra Pradesh,Mumbai,Maharashtra,1
80,933,1032,725,1482.52,15,Sunday,-46.3,0,0,Paytm,Completed,DTH Recharge,Windows,Begusarai,Bihar,Durgapur,West Bengal,1
81,94,1093,244,741.55,17,Friday,76.72,0,0,Paytm,Failed,DTH Recharge,MacOS,Hapur,Uttar Pradesh,Lucknow,Uttar Pradesh,0
82,1789,106,751,8.0,23,Wednesday,-30.51,0,1,PhonePe,Completed,Mobile Recharge,MacOS,Bellary,Karnataka,Chandrapur,Maharashtra,0
83,665,171,157,1475.18,20,Saturday,97.05,0,0,PhonePe,Failed,Online Shopping,MacOS,Khammam,Telangana,Akola,Maharashtra,0
84,1688,729,782,4858.05,3,Wednesday,7.48,1,1,Paytm,Pending,Gas Bill,iOS,Bijapur,Karnataka,Kota,Rajasthan,0
85,1480,1410,392,3022.1,4,Wednesday,-58.77,1,1,Paytm,Failed,Travel Booking,Windows,Firozabad,Uttar Pradesh,Barasat,West Bengal,0
86,551,418,596,1159.38,19,Wednesday,45.26,0,0,BHIM,Pending,Education Fees,Windows,Rajkot,Gujarat,Gwalior,Madhya Pradesh,0
87,192,1016,843,945.11,0,Sunday,-1.9,0,1,BHIM,Completed,Electricity Bill,Windows,Saharanpur,Uttar Pradesh,Chandigarh,Chandigarh,0
88,44,636,708,3039.5,2,Monday,-86.11,1,1,PhonePe,Failed,Healthcare Services,Windows,Puducherry,Puducherry,Maheshtala,West Bengal,1
89,932,1322,994,2634.37,2,Saturday,45.35,0,1,BHIM,Failed,Travel Booking,iOS,Bhopal,Madhya Pradesh,Meerut,Uttar Pradesh,0
90,774,787,22,4673.45,6,Thursday,-73.56,1,0,GPay,Failed,Travel Booking,iOS,Raichur,Karnataka,Hyderabad,Telangana,0
91,293,1285,615,2712.31,12,Monday,63.65,0,0,GPay,Completed,Food Delivery,Android,Tiruvottiyur,Tamil Nadu,Bangalore,Karnataka,0
92,415,286,232,1659.45,2,Wednesday,-69.1,0,1,BHIM,Pending,Food Delivery,Windows,Bellary,Karnataka,Vijayawada,Andhra Pradesh,1
93,1286,1114,646,2723.67,9,Sunday,-79.49,0,0,GPay,Completed,Food Delivery,Android,Sikar,Rajasthan,Kanpur,Uttar Pradesh,0
94,291,3,817,1927.53,19,Friday,-29.34,0,0,GPay,Pending,Gas Bill,MacOS,Nashik,Maharashtra,Salem,Tamil Nadu,0
95,1407,1465,795,1123.39,2,Monday,91.29,0,1,BHIM,Completed,Travel Booking,MacOS,Etawah,Uttar Pradesh,Madurai,Tamil Nadu,1
96,1261,684,122,3022.93,17,Monday,-64.39,1,0,Paytm,Completed,Healthcare Services,Android,Imphal,Manipur,Ludhiana,Punjab,0
97,1392,871,154,1742.58,17,Wednesday,-79.22,0,0,Paytm,Pending,Food Delivery,iOS,Delhi,Delhi,Kirari Suleman Nagar,Delhi,0
98,1911,544,97,733.8,19,Saturday,-70.44,0,0,GPay,Failed,DTH Recharge,Android,Bijapur,Karnataka,Jabalpur,Madhya Pradesh,0
99,1669,138,116,724.19,22,Saturday,-35.39,0,0,BHIM,Pending,Education Fees,Windows,Muzaffarpur,Bihar,Thoothukudi,Tamil Nadu,1
100,723,654,507,4864.27,8,Tuesday,20.35,1,0,BHIM,Failed,Healthcare Services,MacOS,Visakhapatnam,Andhra Pradesh,Berhampur,Odisha,1
101,1643,1340,944,2747.15,18,Monday,7.75,0,0,PhonePe,Pending,Water Bill,Android,Bangalore,Karnataka,Jalgaon,Maharashtra,0
102,788,172,595,3883.19,9,Thursday,62.26,1,0,BHIM,Failed,Gas Bill,Android,Kadapa,Andhra Pradesh,Rampur,Uttar Pradesh,1
103,482,741,3,2792.31,6,Friday,91.52,0,0,PhonePe,Pending,Mobile Recharge,Windows,Jammu,Jammu and Kashmir,Ahmedabad,Gujarat,0
104,1867,716,370,721.56,6,Friday,70.66,0,0,PhonePe,Pending,Healthcare Services,MacOS,Agra,Uttar Pradesh,Bhavnagar,Gujarat,0
105,497,432,848,689.87,21,Thursday,92.41,0,0,PhonePe,Failed,Mobile Recharge,iOS,Kanpur,Uttar Pradesh,Thane,Maharashtra,0
106,1502,54,713,3507.31,12,Monday,32.55,1,0,BHIM,Completed,Education Fees,Windows,Pali,Rajasthan,Tirunelveli,Tamil Nadu,1
107,62,301,375,386.25,7,Sunday,13.84,0,0,PhonePe,Completed,DTH Recharge,Windows,Patna,Bihar,Ghaziabad,Uttar Pradesh,0
108,1568,374,595,4743.88,18,Saturday,-5.96,1,0,PhonePe,Failed,Travel Booking,Android,Kolhapur,Maharashtra,Shivamogga,Karnataka,0
109,1601,1321,378,300.94,18,Saturday,28.49,0,0,Paytm,Completed,Online Shopping,iOS,Farrukhabad,Uttar Pradesh,Vasai-Virar,Maharashtra,0
110,1031,329,12,4741.26,23,Tuesday,-9.14,1,1,BHIM,Failed,Healthcare Services,Android,Shivamogga,Karnataka,South Dumdum,West Bengal,0
111,1883,1172,514,2118.93,5,Friday,-68.64,0,1,Paytm,Completed,Water Bill,Windows,Davanagere,Karnataka,Gandhidham,Gujarat,0
112,774,257,761,280.93,9,Tuesday,-21.54,0,0,PhonePe,Failed,Water Bill,Android,Raichur,Karnataka,Kozhikode,Kerala,0
113,1673,1419,480,3209.81,4,Tuesday,65.45,1,1,BHIM,Failed,DTH Recharge,MacOS,Lucknow,Uttar Pradesh,Kolhapur,Maharashtra,1
114,1325,869,200,389.97,14,Tuesday,20.64,0,0,Paytm,Completed,Online Shopping,MacOS,Maheshtala,West Bengal,Kalyan-Dombivli,Maharashtra,0
115,491,578,167,2985.96,12,Sunday,51.3,0,0,GPay,Completed,Healthcare Services,iOS,Prayagraj,Uttar Pradesh,Visakhapatnam,Andhra Pradesh,0
116,1308,67,247,2824.42,11,Wednesday,12.75,0,0,Paytm,Failed,Food Delivery,MacOS,Muzaffarnagar,Uttar Pradesh,Ludhiana,Punjab,0
117,99,645,96,3758.65,23,Thursday,91.75,1,1,Paytm,Pending,Travel Booking,MacOS,Gurgaon,Haryana,Bangalore,Karnataka,0
118,1540,801,744,3373.76,13,Sunday,-33.74,1,0,Paytm,Failed,Mobile Recharge,MacOS,Patna,Bihar,Amritsar,Punjab,0
119,207,1029,999,2385.29,6,Thursday,73.76,0,0,GPay,Pending,Water Bill,MacOS,Bellary,Karnataka,Darbhanga,Bihar,1
120,311,1398,475,4764.14,19,Thursday,-53.69,1,0,GPay,Completed,Healthcare Services,iOS,Akola,Maharashtra,Barasat,West Bengal,1
121,1575,1472,918,1695.76,19,Thursday,-27.94,0,0,Paytm,Completed,Electricity Bill,Android,Tirunelveli,Tamil Nadu,Muzaffarnagar,Uttar Pradesh,0
122,82,1460,793,4985.05,14,Sunday,21.38,1,0,BHIM,Completed,Gas Bill,iOS,Rewa,Madhya Pradesh,Thiruvananthapuram,Kerala,0
123,200,31,41,2495.06,18,Friday,-9.04,0,0,Paytm,Completed,Water Bill,Android,Varanasi,Uttar Pradesh,Bardhaman,West Bengal,0
124,331,140,346,356.6,1,Monday,42.13,0,1,Paytm,Completed,Gas Bill,iOS,Ulhasnagar,Maharashtra,Sangli-Miraj & Kupwad,Maharashtra,0
125,525,906,666,2441.81,10,Monday,-27.31,0,0,PhonePe,Failed,DTH Recharge,Android,Tiruvottiyur,Tamil Nadu,Aurangabad,Maharashtra,0
126,1756,1270,244,4224.33,5,Friday,90.41,1,1,BHIM,Failed,Mobile Recharge,MacOS,Agartala,Tripura,Belgaum,Karnataka,1
127,1037,922,735,286.24,18,Wednesday,58.12,0,0,GPay,Failed,Education Fees,Windows,Bally,West Bengal,Eluru,Andhra Pradesh,0
128,317,216,458,1997.0,1,Monday,-85.4,0,1,BHIM,Failed,Travel Booking,iOS,Warangal,Telangana,Coimbatore,Tamil Nadu,1
129,1371,192,269,2676.04,9,Thursday,63.66,0,0,BHIM,Failed,Food Delivery,MacOS,Gorakhpur,Uttar Pradesh,Tirupati,Andhra Pradesh,0
130,1499,222,369,1644.27,8,Tuesday,-36.54,0,0,BHIM,Pending,Education Fees,Android,Gorakhpur,Uttar Pradesh,Bareilly,Uttar Pradesh,0
131,436,1439,760,2273.44,15,Sunday,9.02,0,0,BHIM,Pending,Electricity Bill,iOS,Prayagraj,Uttar Pradesh,Varanasi,Uttar Pradesh,0
132,1312,438,328,312.94,9,Tuesday,61.71,0,0,GPay,Pending,Online Shopping,iOS,Eluru,Andhra Pradesh,Dewas,Madhya Pradesh,0
133,438,111,217,1349.97,4,Monday,27.14,0,1,GPay,Pending,Education Fees,Android,Raipur,Chhattisgarh,Etawah,Uttar Pradesh,1
134,561,830,84,4356.57,2,Sunday,4.96,1,1,Paytm,Pending,Online Shopping,iOS,Farrukhabad,Uttar Pradesh,Baranagar,West Bengal,0
135,377,111,95,823.5,4,Saturday,-30.14,0,1,BHIM,Pending,Education Fees,MacOS,Tiruppur,Tamil Nadu,Jhansi,Uttar Pradesh,0
136,1097,1411,803,1774.11,22,Wednesday,38.58,0,0,PhonePe,Pending,Healthcare Services,iOS,Rewa,Madhya Pradesh,Bharatpur,Rajasthan,0
137,1149,1223,294,2892.87,16,Wednesday,-71.08,0,0,GPay,Failed,Online Shopping,Android,Jaipur,Rajasthan,Sikar,Rajasthan,0
138,30,309,145,568.92,12,Tuesday,94.0,0,0,PhonePe,Pending,Education Fees,iOS,Kolhapur,Maharashtra,Kollam,Kerala,0
139,1480,8,462,3194.94,2,Monday,15.68,1,1,PhonePe,Pending,Online Shopping,MacOS,Firozabad,Uttar Pradesh,Satna,Madhya Pradesh,1
140,861,1427,323,1049.61,6,Wednesday,-61.77,0,0,BHIM,Pending,Electricity Bill,Windows,Dewas,Madhya Pradesh,Aligarh,Uttar Pradesh,0
141,759,746,17,4095.44,8,Sunday,-75.05,1,0,Paytm,Failed,Mobile Recharge,iOS,Ambattur,Tamil Nadu,Asansol,West Bengal,1
142,848,841,361,2616.33,0,Thursday,53.02,0,1,Paytm,Pending,Gas Bill,MacOS,Ichalkaranji,Maharashtra,Thrissur,Kerala,1
143,940,878,237,814.12,12,Friday,-12.82,0,0,PhonePe,Failed,DTH Recharge,MacOS,Jamnagar,Gujarat,Kulti,West Bengal,0
144,1299,581,658,3248.47,11,Saturday,23.25,1,0,GPay,Completed,Travel Booking,Android,Imphal,Manipur,Rajkot,Gujarat,0
145,1536,1278,846,4029.55,12,Thursday,33.54,1,0,BHIM,Failed,Gas Bill,iOS,Jammu,Jammu and Kashmir,Avadi,Tamil Nadu,0
146,457,932,565,4281.86,14,Saturday,90.11,1,0,BHIM,Completed,Education Fees,MacOS,Mathura,Uttar Pradesh,Varanasi,Uttar Pradesh,1
147,846,1321,914,2538.3,5,Saturday,-46.48,0,1,GPay,Completed,Online Shopping,MacOS,Agartala,Tripura,Tirunelveli,Tamil Nadu,0
148,1718,850,690,164.34,19,Saturday,-94.75,0,0,PhonePe,Pending,Travel Booking,Android,Ahmedabad,Gujarat,Delhi,Delhi,0
149,1680,1229,326,4964.15,17,Saturday,-51.63,1,0,Paytm,Failed,Mobile Recharge,iOS,Belgaum,Karnataka,Madurai,Tamil Nadu,0
150,1263,1320,403,645.22,17,Monday,27.25,0,0,GPay,Pending,Electricity Bill,Windows,Rajkot,Gujarat,Ozhukarai,Puducherry,0
151,826,652,530,498.79,3,Tuesday,60.23,0,1,PhonePe,Completed,Education Fees,Android,Baranagar,West Bengal,Gopalpur,Odisha,0
152,1727,1285,921,467.18,17,Tuesday,-94.87,0,0,PhonePe,Completed,Food Delivery,iOS,Rewa,Madhya Pradesh,Gulbarga,Karnataka,1
153,57,1266,725,127.42,17,Tuesday,46.83,0,0,GPay,Pending,Mobile Recharge,Windows,Nanded,Maharashtra,Khammam,Telangana,0
154,383,491,669,2677.55,0,Tuesday,-50.95,0,1,PhonePe,Completed,Travel Booking,MacOS,Raipur,Chhattisgarh,Dehradun,Uttarakhand,0
155,1578,534,24,3137.56,22,Tuesday,27.68,1,0,Paytm,Completed,Water Bill,MacOS,Puducherry,Puducherry,Ludhiana,Punjab,0
156,228,941,236,1310.71,11,Sunday,-63.87,0,0,GPay,Pending,Gas Bill,iOS,Korba,Chhattisgarh,Howrah,West Bengal,1
157,1870,426,89,2069.31,15,Saturday,-2.7,0,0,GPay,Completed,Mobile Recharge,Android,Ozhukarai,Puducherry,Ahmednagar,Maharashtra,0
158,1408,860,753,4042.94,23,Friday,-64.04,1,1,Paytm,Pending,Food Delivery,iOS,Firozabad,Uttar Pradesh,Satna,Madhya Pradesh,1
159,1351,1162,647,4968.7,12,Sunday,-3.22,1,0,GPay,Pending,Electricity Bill,iOS,Indore,Madhya Pradesh,Srinagar,Jammu and Kashmir,0
160,325,1069,760,3030.95,9,Friday,7.19,1,0,Paytm,Completed,Water Bill,iOS,Ghaziabad,Uttar Pradesh,Aurangabad,Maharashtra,0
161,443,748,118,693.69,19,Tuesday,-83.31,0,0,PhonePe,Pending,Electricity Bill,Android,Bellary,Karnataka,Pune,Maharashtra,0
162,549,561,975,3540.71,11,Wednesday,30.38,1,0,PhonePe,Pending,Food Delivery,Android,South Dumdum,West Bengal,Nashik,Maharashtra,0
163,894,1050,836,990.18,0,Wednesday,69.21,0,1,PhonePe,Completed,Food Delivery,MacOS,Hapur,Uttar Pradesh,Saharanpur,Uttar Pradesh,0
164,211,1196,813,4768.86,0,Wednesday,-2.43,1,1,Paytm,Completed,Online Shopping,MacOS,Gwalior,Madhya Pradesh,Jodhpur,Rajasthan,0
165,1222,557,185,2147.14,1,Saturday,13.43,0,1,GPay,Pending,Travel Booking,Android,Bokaro,Jharkhand,Karnal,Haryana,0
166,921,343,911,2934.76,20,Tuesday,-41.31,0,0,GPay,Pending,Travel Booking,Android,Rourkela,Odisha,Kamarhati,West Bengal,0
167,722,816,496,2147.5,21,Thursday,-62.82,0,0,GPay,Pending,Gas Bill,Windows,Kanpur,Uttar Pradesh,Guwahati,Assam,0
168,1346,762,381,49.16,2,Wednesday,37.66,0,1,PhonePe,Completed,DTH Recharge,MacOS,Gandhidham,Gujarat,Kolhapur,Maharashtra,0
169,954,1163,815,332.11,10,Monday,-43.28,0,0,Paytm,Failed,Mobile Recharge,MacOS,Jodhpur,Rajasthan,Mira-Bhayandar,Maharashtra,0
170,211,1149,285,2109.33,11,Friday,51.24,0,0,GPay,Failed,Travel Booking,Android,Gwalior,Madhya Pradesh,Khammam,Telangana,0
171,406,404,51,4951.31,0,Friday,-15.75,1,1,BHIM,Completed,Healthcare Services,iOS,Raichur,Karnataka,Kollam,Kerala,1
172,1232,670,606,107.32,2,Sunday,-96.43,0,1,BHIM,Failed,Healthcare Services,Windows,Kota,Rajasthan,Warangal,Telangana,0
173,1868,946,292,4479.25,18,Thursday,83.61,1,0,PhonePe,Completed,Online Shopping,Android,Ichalkaranji,Maharashtra,Kurnool,Andhra Pradesh,1
174,143,963,82,1374.09,7,Tuesday,50.74,0,0,BHIM,Pending,Mobile Recharge,MacOS,Ratlam,Madhya Pradesh,Sikar,Rajasthan,0
175,1012,1255,414,4919.85,11,Friday,-1.33,1,0,BHIM,Failed,Water Bill,Windows,Guntur,Andhra Pradesh,Dehradun,Uttarakhand,1
176,1727,766,921,4127.46,14,Friday,-72.25,1,0,GPay,Completed,Gas Bill,iOS,Rewa,Madhya Pradesh,Bhubaneswar,Odisha,0
