transaction_id,user_id,merchant_id,device_id,amount,hour,day_of_week,transaction_amount_deviation,is_high_value,is_odd_hour,upi_channel,transaction_status,merchant_category,device_os,default_city,default_state,transaction_city,transaction_state,fraud,transaction_date,transaction_time,
5035,1366,1176,382,1116.35,4,Friday,74.26,0,1,PhonePe,Failed,Shopping,Android,Hubli-Dharwad,Karnataka,Arrah,Bihar,0,8/25/2023,4:29:30 AM,
5036,1012,813,362,12989.99,22,Wednesday,29.71,1,0,PhonePe,Pending,Shopping,iOS,Guntur,Andhra Pradesh,Guwahati,Assam,0,8/30/2023,10:09:56 PM,
5037,1826,36,470,10513.26,20,Tuesday,-47.86,1,0,PhonePe,Pending,Utilities,Android,Dhule,Maharashtra,Bhubaneswar,Odisha,0,6/18/2024,8:18:16 PM,
5038,1683,1158,252,16993.22,5,Wednesday,-78.28,1,1,PhonePe,Failed,Utilities,iOS,Gulbarga,Karnataka,Ratlam,Madhya Pradesh,1,5/31/2023,5:30:06 AM,
5039,318,1444,891,1208.74,5,Saturday,13.51,0,1,PayTM,Pending,Utilities,iOS,Salem,Tamil Nadu,Aizawl,Mizoram,0,5/20/2023,5:31:12 AM,
5040,1373,887,198,4987.8,9,Thursday,84.26,1,0,PhonePe,Failed,Food,Android,Aizawl,Mizoram,Parbhani,Maharashtra,0,11/23/2023,9:59:45 AM,
5041,783,995,36,3419.72,19,Tuesday,34.45,1,0,GPay,Completed,Utilities,iOS,Ahmednagar,Maharashtra,Raichur,Karnataka,0,10/3/2023,7:05:57 PM,
5042,1654,587,659,12963.9,11,Saturday,31.57,1,0,GPay,Completed,Utilities,Android,Korba,Chhattisgarh,Korba,Chhattisgarh,0,4/1/2023,11:20:50 AM,
5043,1914,461,87,13356.43,20,Friday,-15.64,1,0,GPay,Failed,Utilities,iOS,Kochi,Kerala,Ghaziabad,Uttar Pradesh,1,4/12/2024,8:02:48 PM,
5044,1595,918,537,563.33,5,Saturday,-87.34,0,1,BHIM,Pending,Utilities,Android,Kochi,Kerala,Rampur,Uttar Pradesh,0,8/26/2023,5:41:50 AM,
5045,828,1264,538,3290.09,15,Monday,50.58,1,0,PhonePe,Failed,Education,Android,Nashik,Maharashtra,Varanasi,Uttar Pradesh,0,3/27/2023,3:11:45 PM,
5046,1033,1465,249,14541.58,12,Thursday,11.22,1,0,GPay,Completed,Food,iOS,Nashik,Maharashtra,Baranagar,West Bengal,0,3/16/2023,12:36:51 PM,
5047,719,557,80,14496.95,14,Thursday,39.65,1,0,GPay,Failed,Utilities,Other,Dhule,Maharashtra,Panipat,Haryana,1,1/19/2023,2:15:55 PM,
5048,1345,249,867,2057.99,14,Friday,-73.79,0,0,PhonePe,Pending,Education,Android,Thrissur,Kerala,Berhampur,Odisha,0,10/13/2023,2:50:02 PM,
5049,59,608,420,6916.81,10,Sunday,68.51,1,0,PhonePe,Completed,Food,iOS,Srinagar,Jammu and Kashmir,Jodhpur,Rajasthan,0,10/1/2023,10:08:14 AM,
5050,1318,448,666,5100.03,21,Saturday,-9.42,1,0,PhonePe,Completed,Utilities,Android,Varanasi,Uttar Pradesh,Nizamabad,Telangana,0,5/25/2024,9:17:41 PM,
5051,1140,1161,120,94309.06,4,Tuesday,-48.96,1,1,PhonePe,Failed,Shopping,Windows,Muzaffarnagar,Uttar Pradesh,Nanded,Maharashtra,1,3/21/2023,4:24:34 AM,
5052,1821,309,556,11710.96,17,Monday,59.38,1,0,GPay,Failed,Travel,Android,Kakinada,Andhra Pradesh,Bikaner,Rajasthan,0,4/17/2023,5:35:50 PM,
5053,820,467,103,11295.34,2,Friday,-12.51,1,1,GPay,Failed,Shopping,iOS,Satna,Madhya Pradesh,Indore,Madhya Pradesh,1,6/9/2023,2:17:39 AM,
5054,1902,1385,83,859.85,6,Saturday,-57.41,0,0,GPay,Failed,Healthcare,Android,Bhagalpur,Bihar,Mangalore,Karnataka,0,9/2/2023,6:27:38 AM,
5055,1701,794,652,17119.11,18,Tuesday,13.7,1,0,PhonePe,Failed,Utilities,Android,Aligarh,Uttar Pradesh,Rourkela,Odisha,0,2/7/2023,6:11:23 PM,
5056,1030,994,612,16100.58,22,Friday,-43.48,1,0,BHIM,Completed,Utilities,Android,Thoothukudi,Tamil Nadu,Imphal,Manipur,0,4/26/2024,10:18:49 PM,
5057,1422,579,427,11604.98,8,Saturday,-93.01,1,0,BHIM,Completed,Shopping,Android,Dhule,Maharashtra,Ghaziabad,Uttar Pradesh,0,4/13/2024,8:58:48 AM,
5058,1551,1024,44,7014.53,2,Friday,-21.73,1,1,GPay,Pending,Utilities,Android,Jhansi,Uttar Pradesh,Ranchi,Jharkhand,0,7/7/2023,2:14:51 AM,
5059,782,183,407,14294.69,17,Saturday,-6.14,1,0,PhonePe,Failed,Food,Android,Madurai,Tamil Nadu,Shahjahanpur,Uttar Pradesh,0,7/8/2023,5:18:37 PM,
5060,332,1271,984,19296.03,17,Sunday,47.69,1,0,PhonePe,Pending,Food,Windows,South Dumdum,West Bengal,Tirunelveli,Tamil Nadu,0,1/21/2024,5:41:52 PM,
5061,523,844,121,5273.83,2,Monday,60.98,1,1,PhonePe,Failed,Shopping,iOS,Kollam,Kerala,Khammam,Telangana,1,1/22/2024,2:17:19 AM,
5062,830,1480,46,18400.91,9,Friday,-17.27,1,0,PhonePe,Failed,Shopping,Android,Agra,Uttar Pradesh,South Dumdum,West Bengal,1,11/17/2023,9:33:37 AM,
5063,1079,1236,298,15441.25,4,Sunday,59.77,1,1,PhonePe,Pending,Food,Android,Bhiwandi,Maharashtra,Prayagraj,Uttar Pradesh,1,1/28/2024,4:31:18 AM,
5064,465,1314,473,2954.82,3,Friday,46.31,0,1,BHIM,Failed,Shopping,Android,Kochi,Kerala,Bathinda,Punjab,0,2/10/2023,3:29:19 AM,
5065,1896,1409,166,17639.85,4,Tuesday,58.76,1,1,BHIM,Pending,Utilities,Android,Aizawl,Mizoram,Purnia,Bihar,1,4/30/2024,4:27:39 AM,
5066,1777,388,886,666.74,17,Tuesday,-56.28,0,0,PhonePe,Pending,Shopping,Android,Nizamabad,Telangana,Bareilly,Uttar Pradesh,0,4/25/2023,5:46:26 PM,
5067,1127,888,330,19142.58,10,Monday,56.58,1,0,GPay,Completed,Utilities,Android,Bharatpur,Rajasthan,Alwar,Rajasthan,0,3/6/2023,10:31:47 AM,
5068,515,848,201,4811.12,12,Saturday,-22.91,1,0,PhonePe,Pending,Travel,Android,Kochi,Kerala,Malegaon,Maharashtra,0,2/11/2023,12:52:41 PM,
5069,400,1446,49,16312.76,4,Saturday,76.91,1,1,PhonePe,Completed,Utilities,Android,Bhatpara,West Bengal,Eluru,Andhra Pradesh,1,12/23/2023,4:32:30 AM,
5070,1855,582,663,19450.86,9,Tuesday,14.15,1,0,PhonePe,Pending,Utilities,Android,Nagpur,Maharashtra,Mira-Bhayandar,Maharashtra,0,2/21/2023,9:07:55 AM,
5071,619,1317,630,14599.24,22,Saturday,83.09,1,0,GPay,Failed,Utilities,iOS,Thiruvananthapuram,Kerala,Tiruvottiyur,Tamil Nadu,1,1/28/2023,10:38:38 PM,
5072,412,687,791,15021.56,7,Monday,48.03,1,0,PhonePe,Failed,Food,iOS,Gwalior,Madhya Pradesh,Begusarai,Bihar,1,7/24/2023,7:44:59 AM,
5073,1223,15,83,12609.7,10,Friday,23.82,1,0,PhonePe,Failed,Shopping,Android,Panipat,Haryana,Amritsar,Punjab,1,11/10/2023,10:41:06 AM,
5074,480,429,455,90587.13,21,Sunday,42.69,1,0,PhonePe,Pending,Food,Android,Durg,Chhattisgarh,Kochi,Kerala,1,2/26/2023,9:31:22 PM,
5075,102,1483,960,18541.48,15,Friday,-83.83,1,0,PhonePe,Failed,Utilities,iOS,New Delhi,Delhi,Bhavnagar,Gujarat,1,10/20/2023,3:04:55 PM,
5076,1103,276,601,6586.83,13,Tuesday,-52.09,1,0,PayTM,Failed,Utilities,Android,Mumbai,Maharashtra,Rajpur Sonarpur,West Bengal,0,5/16/2023,1:47:58 PM,
5077,1149,460,285,13861.2,16,Saturday,87.93,1,0,PhonePe,Failed,Utilities,iOS,Jaipur,Rajasthan,Hyderabad,Telangana,0,1/27/2024,4:54:27 PM,
5078,1880,889,716,6333.93,7,Friday,88.42,1,0,GPay,Failed,Food,Android,Gorakhpur,Uttar Pradesh,Tiruchirappalli,Tamil Nadu,0,8/4/2023,7:19:25 AM,
5079,157,1241,901,77603.12,13,Tuesday,7.19,1,0,PayTM,Completed,Utilities,Android,Patna,Bihar,Bokaro,Jharkhand,0,1/2/2024,1:08:40 PM,
5080,24,816,717,3446.98,13,Friday,90.01,1,0,BHIM,Pending,Education,Android,Madurai,Tamil Nadu,Ichalkaranji,Maharashtra,0,3/10/2023,1:34:38 PM,
5081,337,484,66,14384.35,21,Saturday,74.12,1,0,GPay,Failed,Utilities,Android,Bhilai,Chhattisgarh,Ahmednagar,Maharashtra,1,6/17/2023,9:47:25 PM,
5082,1190,431,660,23102.27,14,Saturday,35.98,1,0,GPay,Completed,Utilities,Android,Nagpur,Maharashtra,Lucknow,Uttar Pradesh,1,4/13/2024,2:53:52 PM,
5083,1410,154,941,16050.55,8,Friday,30.78,1,0,PhonePe,Completed,Food,iOS,Chandrapur,Maharashtra,Coimbatore,Tamil Nadu,0,4/12/2024,8:56:30 AM,
5084,615,901,650,15342.1,23,Sunday,-46.51,1,1,PhonePe,Completed,Education,iOS,Ozhukarai,Puducherry,Jaipur,Rajasthan,0,3/17/2024,11:38:55 PM,
5085,417,629,772,3203.9,15,Monday,19.63,1,0,PhonePe,Completed,Utilities,Android,Karnal,Haryana,Siliguri,West Bengal,0,4/22/2024,3:03:27 PM,
5086,1027,680,563,11883.27,20,Wednesday,1.38,1,0,PhonePe,Completed,Utilities,iOS,Kolkata,West Bengal,Kollam,Kerala,0,3/20/2024,8:11:52 PM,
5087,114,1235,68,20849.08,0,Friday,28.25,1,1,PhonePe,Failed,Utilities,iOS,Nizamabad,Telangana,Pimpri-Chinchwad,Maharashtra,1,3/17/2023,12:28:05 AM,
5088,1576,1184,644,22252.84,5,Saturday,49.49,1,1,BHIM,Pending,Food,Android,Bhatpara,West Bengal,Thiruvananthapuram,Kerala,1,2/3/2024,5:36:51 AM,
5089,296,714,48,1591.8,23,Monday,-24.69,0,1,PhonePe,Pending,Shopping,Android,Jalgaon,Maharashtra,Etawah,Uttar Pradesh,0,9/25/2023,11:07:24 PM,
5090,601,577,918,9626.45,6,Monday,-13.62,1,0,PhonePe,Pending,Utilities,Windows,Rajahmundry,Andhra Pradesh,Bardhaman,West Bengal,0,5/13/2024,6:32:42 AM,
5091,1252,850,148,14187.38,17,Friday,12.6,1,0,GPay,Failed,Shopping,Android,Baranagar,West Bengal,Bellary,Karnataka,0,5/3/2024,5:10:44 PM,
5092,618,349,484,1631.89,2,Thursday,-81.3,0,1,PhonePe,Failed,Healthcare,Android,Nashik,Maharashtra,Gandhidham,Gujarat,0,1/19/2023,2:43:06 AM,
5093,130,97,296,70837.23,11,Sunday,-57.68,1,0,GPay,Pending,Food,Android,Sonipat,Haryana,Jabalpur,Madhya Pradesh,1,10/1/2023,11:21:00 AM,
5094,238,981,424,3463.77,12,Wednesday,58.83,1,0,GPay,Completed,Shopping,Android,Durgapur,West Bengal,Jamnagar,Gujarat,0,3/29/2023,12:48:42 PM,
5095,87,635,624,11496.14,8,Friday,-25.32,1,0,PayTM,Pending,Education,Android,Shivamogga,Karnataka,Kolkata,West Bengal,0,1/27/2023,8:07:11 AM,
5096,1318,1319,601,18371.76,12,Monday,82.87,1,0,GPay,Completed,Food,Android,Varanasi,Uttar Pradesh,Durg,Chhattisgarh,0,9/25/2023,12:44:26 PM,
5097,1556,580,491,11398.65,13,Monday,64.38,1,0,PhonePe,Failed,Utilities,iOS,Mysore,Karnataka,Chennai,Tamil Nadu,0,2/13/2023,1:50:52 PM,
5098,792,460,165,5042.16,6,Wednesday,35.75,1,0,PhonePe,Pending,Utilities,Android,Hyderabad,Telangana,Bijapur,Karnataka,0,4/26/2023,6:46:09 AM,
5099,1765,359,700,9793.81,21,Wednesday,-94.38,1,0,BHIM,Completed,Shopping,Windows,Thoothukudi,Tamil Nadu,Bhopal,Madhya Pradesh,0,2/15/2023,9:31:09 PM,
5100,651,1112,143,6549.07,8,Tuesday,-83.46,1,0,PhonePe,Pending,Utilities,Windows,Rajpur Sonarpur,West Bengal,Kolkata,West Bengal,0,7/11/2023,8:40:31 AM,
5101,970,110,967,7920.52,0,Saturday,-37.68,1,1,PhonePe,Completed,Utilities,Android,Aligarh,Uttar Pradesh,Maheshtala,West Bengal,0,12/2/2023,12:51:56 AM,
5102,451,1461,312,14252.3,6,Wednesday,14.46,1,0,GPay,Failed,Travel,iOS,Vadodara,Gujarat,Vasai-Virar,Maharashtra,1,9/6/2023,6:28:56 AM,
5103,1361,646,681,14606.29,9,Saturday,-60.83,1,0,GPay,Pending,Shopping,Android,Kulti,West Bengal,Sagar,Madhya Pradesh,0,11/11/2023,9:03:54 AM,
5104,1673,33,961,18403.63,13,Tuesday,-32.22,1,0,PayTM,Failed,Utilities,iOS,Lucknow,Uttar Pradesh,Kanpur,Uttar Pradesh,0,8/29/2023,1:13:42 PM,
5105,243,738,771,3463.99,14,Saturday,90.21,1,0,PhonePe,Pending,Healthcare,iOS,Agartala,Tripura,Mumbai,Maharashtra,0,3/30/2024,2:05:39 PM,
5106,1503,1222,824,72378,3,Friday,53.24,1,1,GPay,Completed,Healthcare,iOS,Srinagar,Jammu and Kashmir,Bathinda,Punjab,1,2/3/2023,3:55:00 AM,
5107,1915,402,645,75774.99,5,Saturday,-23.79,1,1,PhonePe,Failed,Shopping,Windows,Agartala,Tripura,Kota,Rajasthan,1,2/3/2024,5:36:44 AM,
5108,689,826,795,91315.21,23,Saturday,-98.05,1,1,GPay,Completed,Food,Android,Vijayawada,Andhra Pradesh,Durg,Chhattisgarh,1,11/18/2023,11:26:39 PM,
5109,390,1115,724,17576.73,8,Friday,-69.4,1,0,PhonePe,Failed,Shopping,iOS,Bhopal,Madhya Pradesh,Mathura,Uttar Pradesh,1,12/1/2023,8:32:28 AM,
5110,435,378,840,7709.38,4,Friday,87.63,1,1,PhonePe,Failed,Food,iOS,Delhi,Delhi,Vadodara,Gujarat,1,3/3/2023,4:59:11 AM,
5111,233,1290,288,9341.85,7,Monday,80.92,1,0,PhonePe,Pending,Utilities,Android,Pali,Rajasthan,Thoothukudi,Tamil Nadu,0,1/22/2024,7:41:35 AM,
5112,38,12,993,12809.03,12,Sunday,-80,1,0,PayTM,Failed,Food,Android,Aizawl,Mizoram,Vadodara,Gujarat,1,9/3/2023,12:54:21 PM,
5113,1589,225,875,14661.54,16,Monday,-13.92,1,0,BHIM,Pending,Food,Android,Gorakhpur,Uttar Pradesh,Thiruvananthapuram,Kerala,0,7/17/2023,4:15:33 PM,
5114,737,454,667,45637.28,9,Monday,-79.65,1,0,GPay,Pending,Shopping,Android,Ahmedabad,Gujarat,Jalna,Maharashtra,1,11/27/2023,9:35:38 AM,
5115,1674,1119,385,19983.83,14,Sunday,79.53,1,0,PhonePe,Failed,Food,Android,Nizamabad,Telangana,Chandigarh,Chandigarh,1,4/23/2023,2:28:42 PM,
5116,68,276,480,11024.4,4,Friday,6.61,1,1,GPay,Failed,Utilities,Android,Solapur,Maharashtra,Mathura,Uttar Pradesh,0,2/17/2023,4:24:32 AM,
5117,379,298,68,62442.03,21,Wednesday,-1.79,1,0,BHIM,Completed,Shopping,iOS,Bhilai,Chhattisgarh,Noida,Uttar Pradesh,0,2/8/2023,9:46:30 PM,
5118,1441,1059,265,11443.88,4,Sunday,34.72,1,1,PayTM,Pending,Shopping,Android,Kadapa,Andhra Pradesh,Salem,Tamil Nadu,0,3/10/2024,4:06:53 AM,
5119,1648,889,153,17497.14,1,Saturday,41.82,1,1,PhonePe,Pending,Food,Android,Maheshtala,West Bengal,Satna,Madhya Pradesh,1,5/27/2023,1:19:43 AM,
5120,1479,477,516,18634.4,17,Tuesday,-3.02,1,0,PayTM,Pending,Healthcare,Android,Ahmedabad,Gujarat,Ahmednagar,Maharashtra,0,12/12/2023,5:28:05 PM,
5121,1265,1376,999,16115.05,22,Friday,48.16,1,0,PhonePe,Completed,Travel,Android,Kollam,Kerala,Ambattur,Tamil Nadu,0,6/30/2023,10:33:06 PM,
5122,1665,728,889,6144.29,12,Thursday,-49.97,1,0,GPay,Failed,Utilities,Android,Coimbatore,Tamil Nadu,Mirzapur,Uttar Pradesh,0,8/17/2023,12:57:20 PM,
5123,741,1162,576,9673.72,4,Tuesday,-41.78,1,1,PayTM,Failed,Food,Android,Agartala,Tripura,Howrah,West Bengal,1,4/11/2023,4:48:08 AM,
5124,1857,423,115,911.31,1,Tuesday,96.06,0,1,BHIM,Completed,Utilities,iOS,Imphal,Manipur,Purnia,Bihar,0,3/19/2024,1:51:38 AM,
5125,1620,1408,816,13036.4,3,Monday,-97.51,1,1,PhonePe,Completed,Shopping,Windows,Nanded,Maharashtra,Karnal,Haryana,1,4/3/2023,3:00:17 AM,
5126,959,1101,894,6460.31,19,Wednesday,47.24,1,0,PhonePe,Completed,Travel,Android,Shahjahanpur,Uttar Pradesh,Rajahmundry,Andhra Pradesh,0,5/29/2024,7:14:35 PM,
5127,684,437,309,91398.99,7,Tuesday,-95.79,1,0,BHIM,Pending,Utilities,Android,Surat,Gujarat,Satna,Madhya Pradesh,1,2/21/2023,7:54:59 AM,
5128,1136,298,541,26415.59,5,Friday,89.51,1,1,GPay,Completed,Shopping,Android,Varanasi,Uttar Pradesh,Kakinada,Andhra Pradesh,1,7/28/2023,5:19:33 AM,
5129,1812,670,574,7926.46,19,Friday,-30.26,1,0,PhonePe,Pending,Shopping,iOS,Agartala,Tripura,Howrah,West Bengal,0,6/7/2024,7:22:39 PM,
5130,626,891,835,12819.51,16,Tuesday,81.73,1,0,PhonePe,Completed,Travel,Android,Hubli-Dharwad,Karnataka,Rajahmundry,Andhra Pradesh,0,4/23/2024,4:13:11 PM,
5131,363,108,572,15404.18,13,Saturday,50.42,1,0,BHIM,Completed,Healthcare,Android,Warangal,Telangana,Jodhpur,Rajasthan,0,2/3/2024,1:31:32 PM,
5132,1249,536,245,43400.9,3,Thursday,-68,1,1,PayTM,Pending,Utilities,Android,Salem,Tamil Nadu,Prayagraj,Uttar Pradesh,1,10/5/2023,3:30:10 AM,
5133,663,1264,185,14562.5,3,Wednesday,-50.43,1,1,PhonePe,Completed,Education,iOS,Ajmer,Rajasthan,Nizamabad,Telangana,0,5/8/2024,3:26:13 AM,
5134,1033,726,249,15052.5,8,Monday,57.41,1,0,GPay,Completed,Shopping,iOS,Nashik,Maharashtra,Thoothukudi,Tamil Nadu,0,3/27/2023,8:05:29 AM,
5135,1069,1455,237,5698.17,14,Tuesday,15.64,1,0,PhonePe,Failed,Shopping,Android,Bhopal,Madhya Pradesh,Muzaffarpur,Bihar,0,4/9/2024,2:28:56 PM,
5136,1345,574,510,18970.87,9,Friday,-86.8,1,0,BHIM,Failed,Utilities,Android,Thrissur,Kerala,Chandrapur,Maharashtra,1,8/25/2023,9:25:53 AM,
5137,607,79,417,8477.62,17,Tuesday,-53.53,1,0,PhonePe,Failed,Shopping,iOS,Mysore,Karnataka,Patna,Bihar,1,5/9/2023,5:30:43 PM,
5138,388,1483,254,15221.12,6,Wednesday,50.02,1,0,PhonePe,Pending,Utilities,Android,Kanpur,Uttar Pradesh,Madurai,Tamil Nadu,0,1/31/2024,6:14:23 AM,
5139,1291,1126,123,19572.04,19,Thursday,32.83,1,0,PayTM,Failed,Healthcare,Android,Muzaffarpur,Bihar,Varanasi,Uttar Pradesh,1,9/21/2023,7:38:14 PM,
5140,1531,922,262,19757.88,1,Sunday,-62.3,1,1,GPay,Failed,Shopping,iOS,Agra,Uttar Pradesh,Howrah,West Bengal,1,2/19/2023,1:31:19 AM,
5141,739,280,930,502.06,3,Saturday,51.48,0,1,GPay,Pending,Utilities,Windows,Dewas,Madhya Pradesh,Mau,Uttar Pradesh,0,1/13/2024,3:43:09 AM,
5142,570,650,674,17851.16,10,Sunday,30.09,1,0,PhonePe,Pending,Food,Windows,Gurgaon,Haryana,Tirunelveli,Tamil Nadu,0,2/4/2024,10:29:20 AM,
5143,37,1000,566,16060.44,2,Friday,-16.9,1,1,PayTM,Pending,Food,Android,Barasat,West Bengal,Salem,Tamil Nadu,0,12/1/2023,2:42:51 AM,
5144,766,473,508,1534.22,11,Saturday,-87.99,0,0,PhonePe,Pending,Utilities,Android,Guntur,Andhra Pradesh,Meerut,Uttar Pradesh,0,7/1/2023,11:24:11 AM,
5145,674,1087,846,17757.93,22,Saturday,84.66,1,0,PayTM,Completed,Utilities,Android,Mira-Bhayandar,Maharashtra,Gorakhpur,Uttar Pradesh,0,6/29/2024,10:36:28 PM,
5146,491,136,708,19949.08,10,Thursday,-43.73,1,0,PhonePe,Failed,Shopping,iOS,Prayagraj,Uttar Pradesh,Mangalore,Karnataka,0,5/18/2023,10:55:09 AM,
